id,symbol,timestamp,open,high,low,close,volume,source,created_at
2832,GBP/USD,2025-07-07 15:00:00,1.36179,1.36249,1.36125,1.3624,0,twelvedata,2025-08-26 16:43:42
2833,GBP/USD,2025-07-07 16:00:00,1.36214,1.36268,1.36041,1.36116,0,twelvedata,2025-08-26 16:43:42
2834,GBP/USD,2025-07-07 17:00:00,1.36169,1.36232,1.36032,1.36091,0,twelvedata,2025-08-26 16:43:42
2835,GBP/USD,2025-07-07 18:00:00,1.36056,1.36058,1.35798,1.35798,0,twelvedata,2025-08-26 16:43:42
2836,GBP/USD,2025-07-07 19:00:00,1.35809,1.36104,1.35761,1.36104,0,twelvedata,2025-08-26 16:43:42
2837,GBP/USD,2025-07-07 20:00:00,1.36073,1.36073,1.35958,1.36045,0,twelvedata,2025-08-26 16:43:42
2838,GBP/USD,2025-07-07 21:00:00,1.36019,1.36218,1.36006,1.36166,0,twelvedata,2025-08-26 16:43:42
2839,GBP/USD,2025-07-07 22:00:00,1.36171,1.36212,1.36127,1.36175,0,twelvedata,2025-08-26 16:43:42
2840,GBP/USD,2025-07-07 23:00:00,1.36179,1.36335,1.36145,1.36292,0,twelvedata,2025-08-26 16:43:42
2841,GBP/USD,2025-07-08 00:00:00,1.36303,1.36476,1.36303,1.36366,0,twelvedata,2025-08-26 16:43:42
2842,GBP/USD,2025-07-08 01:00:00,1.36372,1.36441,1.36299,1.36362,0,twelvedata,2025-08-26 16:43:42
2843,GBP/USD,2025-07-08 02:00:00,1.3637,1.364,1.35953,1.35964,0,twelvedata,2025-08-26 16:43:42
2844,GBP/USD,2025-07-08 03:00:00,1.35964,1.36095,1.35908,1.36029,0,twelvedata,2025-08-26 16:43:42
2845,GBP/USD,2025-07-08 04:00:00,1.36054,1.36153,1.35938,1.36123,0,twelvedata,2025-08-26 16:43:42
2846,GBP/USD,2025-07-08 05:00:00,1.36114,1.36166,1.3608,1.36106,0,twelvedata,2025-08-26 16:43:42
2847,GBP/USD,2025-07-08 06:00:00,1.36095,1.36103,1.3599,1.36019,0,twelvedata,2025-08-26 16:43:42
2848,GBP/USD,2025-07-08 07:00:00,1.36049,1.36117,1.36001,1.36056,0,twelvedata,2025-08-26 16:43:42
2849,GBP/USD,2025-07-08 08:00:00,1.36054,1.36197,1.36054,1.36197,0,twelvedata,2025-08-26 16:43:42
2850,GBP/USD,2025-07-08 09:00:00,1.36184,1.36243,1.3616,1.36243,0,twelvedata,2025-08-26 16:43:42
2851,GBP/USD,2025-07-08 10:00:00,1.36249,1.36374,1.36249,1.3629,0,twelvedata,2025-08-26 16:43:42
2852,GBP/USD,2025-07-08 11:00:00,1.36305,1.36331,1.36197,1.36256,0,twelvedata,2025-08-26 16:43:42
2853,GBP/USD,2025-07-08 12:00:00,1.36251,1.36381,1.36247,1.36307,0,twelvedata,2025-08-26 16:43:42
